,j
0,-0.07580932974815369
1,0.11531980335712433
2,0.11189726740121841
3,-0.05950649082660675
4,-0.05132294073700905
5,-0.01945127546787262
6,0.023554448038339615
7,-0.004822909832000732
8,0.11820681393146515
9,0.03838672116398811
10,0.2413114607334137
11,-0.05184394121170044
12,-0.24244926869869232
13,-0.14435270428657532
14,-0.03915019333362579
15,0.0722283124923706
16,-0.15661540627479553
17,-0.08200861513614655
18,-0.04367580637335777
19,-0.013725422322750092
20,0.0895833969116211
21,0.029028337448835373
22,0.0688185840845108
23,0.09514568001031876
24,-0.1407303810119629
25,-0.32003501057624817
26,-0.03574785962700844
27,-0.20691633224487305
28,-0.06834334135055542
29,-0.06741349399089813
30,0.01295541226863861
31,0.09930799901485443
32,-0.16982224583625793
33,-0.08409488201141357
34,-0.04909707233309746
35,0.08449535816907883
36,0.008014882914721966
37,-0.02751554176211357
38,0.1697043776512146
39,-0.028305411338806152
40,-0.10098612308502197
41,-0.009705394506454468
42,0.030967436730861664
43,0.2769385278224945
44,0.14451204240322113
45,0.020465388894081116
46,0.1057434007525444
47,0.023195620626211166
48,0.11327284574508667
49,-0.22027821838855743
50,0.0613713413476944
51,0.1347896009683609
52,0.1531793624162674
53,0.03657335042953491
54,0.092633455991745
55,-0.11834719777107239
56,0.05632013455033302
57,0.09115317463874817
58,-0.20861667394638062
59,0.07431338727474213
60,0.05112196505069733
61,0.03210671991109848
62,-0.008909394964575768
63,-0.01733776368200779
64,0.236149400472641
65,0.05395837128162384
66,-0.12680584192276
67,-0.07323199510574341
68,0.08252269774675369
69,-0.10478967428207397
70,-0.04618992283940315
71,0.1552039086818695
72,-0.16975529491901398
73,-0.14968185126781464
74,-0.2325000762939453
75,0.10405561327934265
76,0.42714065313339233
77,0.11789624392986298
78,-0.16989164054393768
79,0.0042677647434175014
80,-0.1519007831811905
81,-0.00407613068819046
82,0.0288192518055439
83,-0.0114902313798666
84,-0.12241348624229431
85,0.1119040921330452
86,-0.18102261424064636
87,0.08564969897270203
88,0.12702371180057526
89,0.009989380836486816
90,-0.06760961562395096
91,0.23473656177520752
92,0.04463353380560875
93,0.0012308463919907808
94,0.055141910910606384
95,-0.0010041594505310059
96,-0.009981696493923664
97,0.05162859708070755
98,-0.11130566149950027
99,0.06387690454721451
100,0.09653457254171371
101,-0.11618771404027939
102,-0.04067640006542206
103,-0.0039043575525283813
104,-0.15962913632392883
105,0.04816058278083801
106,-0.027625447139143944
107,0.009671790525317192
108,-0.07283000648021698
109,-0.01689166948199272
110,-0.1972740739583969
111,0.02228371426463127
112,0.1850704550743103
113,-0.28052160143852234
114,0.10369740426540375
115,0.08408261835575104
116,0.010082066059112549
117,0.1062089055776596
118,0.07385232299566269
119,0.053385354578495026
120,-0.030318088829517365
121,-0.09909400343894958
122,-0.09399363398551941
123,-0.07131901383399963
124,0.1564691811800003
125,0.009187884628772736
126,0.14251495897769928
127,0.01983000710606575
